phantom_size,density,insert_sizes,calculated_agat_large,calculated_agat_medium,calculated_agat_small,ground_truth_mass_hd,predicted_mass_hd,ground_truth_mass_md,predicted_mass_md,ground_truth_mass_ld,predicted_mass_ld,bkg_mass
Small,Density1,Large,197.183232,77.15865600000001,5.715456,129.53179209832416,121.39434209340743,72.62969516017904,69.9887745907794,26.683902601428304,27.191966060970117,0
Small,Density1,Medium,317.207808,137.170944,25.719552,46.63144515539669,45.093446163087556,26.146690257664453,45.093446163087556,9.606204936514189,8.913859738699504,0
Small,Density1,Small,337.211904,160.032768,34.292736,5.181271683932966,5.2884132752665565,2.9051878064071612,5.2884132752665565,1.0673561040571322,0.7901327526655655,0
Small,Density2,Large,107.16480000000001,35.721599999999995,0.0,129.53179209832416,111.15726145066827,72.62969516017904,63.07986274215348,26.683902601428304,15.165631476197632,0
Small,Density2,Medium,305.77689599999997,134.31321599999998,22.861824,46.63144515539669,40.673396606097015,26.146690257664453,40.673396606097015,9.606204936514189,4.825732992941883,0
Small,Density2,Small,331.496448,151.459584,28.577280000000002,5.181271683932966,4.520632227061121,2.9051878064071612,4.520632227061121,1.0673561040571322,0.0,0
Small,Density3,Large,18.575232,2.857728,0.0,129.53179209832416,93.71063853431447,72.62969516017904,37.61791860639736,26.683902601428304,9.678523312335503,0
Small,Density3,Medium,277.199616,108.59366399999999,7.1443200000000004,46.63144515539669,33.4381498723532,26.146690257664453,33.4381498723532,9.606204936514189,0.6504345997897583,0
Small,Density3,Small,331.496448,142.88639999999998,31.435008000000003,5.181271683932966,3.6399750713320325,2.9051878064071612,3.6399750713320325,1.0673561040571322,0.0,0
Medium,Density1,Large,180.03686399999998,72.872064,7.1443200000000004,129.53179209832416,119.60508815137409,72.62969516017904,68.48674005105873,26.683902601428304,24.794745757621264,0
Medium,Density1,Medium,314.35008,140.028672,31.435008000000003,46.63144515539669,43.764637332932885,26.146690257664453,43.764637332932885,9.606204936514189,9.425713770836461,0
Medium,Density1,Small,340.069632,154.31731200000002,34.292736,5.181271683932966,4.8704364018621416,2.9051878064071612,4.8704364018621416,1.0673561040571322,0.9465946838864696,0
Medium,Density2,Large,102.878208,32.863872,0.0,129.53179209832416,108.95561856134557,72.62969516017904,61.34201772037844,26.683902601428304,14.082691395104371,0
Medium,Density2,Medium,314.35008,140.028672,22.861824,46.63144515539669,39.66086439405316,26.146690257664453,39.66086439405316,9.606204936514189,4.789970265805677,0
Medium,Density2,Small,337.211904,151.459584,37.150464,5.181271683932966,4.652507283375883,2.9051878064071612,4.652507283375883,1.0673561040571322,0.0,0
Medium,Density3,Large,31.435007999999996,0.0,0.0,129.53179209832416,89.8907322420784,72.62969516017904,35.81190088601893,26.683902601428304,14.74340777894579,0
Medium,Density3,Medium,260.053248,117.166848,7.1443200000000004,46.63144515539669,32.24568643940532,26.146690257664453,32.24568643940532,9.606204936514189,0.0,0
