phantom_size,density,insert_sizes,ground_truth_mass_hd,predicted_mass_hd,ground_truth_mass_md,predicted_mass_md,ground_truth_mass_ld,predicted_mass_ld,bkg_mass
Small,Density1,Large,129.53179209832416,1.4055129327061877e-17,72.62969516017904,-0.030881045042673996,26.683902601428304,-0.030881045042673996,-0.030881045042673996
Small,Density1,Medium,46.63144515539669,-0.055390557947745,26.146690257664453,-0.055390557947745,9.606204936514189,-0.055390557947745,-0.055390557947745
Small,Density1,Small,5.181271683932966,-0.005549194908589121,2.9051878064071612,-0.005549194908589121,1.0673561040571322,-0.011033545349867162,-0.012004448062450135
Small,Density2,Large,129.53179209832416,3.0727748878689456e-17,72.62969516017904,-0.03576011646051743,26.683902601428304,-0.03576011646051743,-0.03576011646051743
Small,Density2,Medium,46.63144515539669,-0.05919055479333643,26.146690257664453,-0.05919055479333643,9.606204936514189,-0.05919055479333643,-0.05919055479333643
Small,Density2,Small,5.181271683932966,-0.00542679591308165,2.9051878064071612,-0.00542679591308165,1.0673561040571322,-0.011743613598854511,-0.012483212240789398
Small,Density3,Large,129.53179209832416,-2.0955785373644178e-17,72.62969516017904,-0.03340834956741733,26.683902601428304,-0.03340834956741733,-0.03340834956741733
Small,Density3,Medium,46.63144515539669,-0.056253191995084655,26.146690257664453,-0.056253191995084655,9.606204936514189,-0.056253191995084655,-0.056253191995084655
Small,Density3,Small,5.181271683932966,-0.005386614957160941,2.9051878064071612,-0.005386614957160941,1.0673561040571322,-0.011277568036196853,-0.012093524824146069
Medium,Density1,Large,129.53179209832416,2.0939921796525597e-18,72.62969516017904,-0.06797087725869265,26.683902601428304,-0.06797087725869265,-0.06797087725869265
Medium,Density1,Medium,46.63144515539669,-0.0876892949987515,26.146690257664453,-0.0876892949987515,9.606204936514189,-0.0876892949987515,-0.0876892949987515
Medium,Density1,Small,5.181271683932966,-0.005869421157066932,2.9051878064071612,-0.005869421157066932,1.0673561040571322,-0.018110034786443376,-0.017430592093819624
Medium,Density2,Large,129.53179209832416,-5.0446175237084395e-18,72.62969516017904,-0.07036700463508269,26.683902601428304,-0.07036700463508269,-0.07036700463508269
Medium,Density2,Medium,46.63144515539669,-0.08803580454799531,26.146690257664453,-0.08803580454799531,9.606204936514189,-0.08803580454799531,-0.08803580454799531
Medium,Density2,Small,5.181271683932966,-0.005556327949700599,2.9051878064071612,-0.005556327949700599,1.0673561040571322,-0.01805713044495827,-0.017395640314266932
Medium,Density3,Large,129.53179209832416,3.7358724114255895e-17,72.62969516017904,-0.06949707047634592,26.683902601428304,-0.06949707047634592,-0.06949707047634592
Medium,Density3,Medium,46.63144515539669,-0.08727518871641374,26.146690257664453,-0.08727518871641374,9.606204936514189,-0.08727518871641374,-0.08727518871641374
Medium,Density3,Small,5.181271683932966,-0.005629005099304248,2.9051878064071612,-0.005629005099304248,1.0673561040571322,-0.018014538841247683,-0.017441533750249993
Large,Density1,Large,129.53179209832416,-4.9494360609969594e-17,72.62969516017904,-0.08737009582896345,26.683902601428304,-0.08737009582896345,-0.08737009582896345
Large,Density1,Medium,46.63144515539669,-0.09908013700313809,26.146690257664453,-0.09908013700313809,9.606204936514189,-0.09908013700313809,-0.09908013700313809
Large,Density1,Small,5.181271683932966,-0.006147020841902523,2.9051878064071612,-0.006147020841902523,1.0673561040571322,-0.02206976797030498,-0.019583415652873113
Large,Density2,Large,129.53179209832416,1.0850686749108718e-17,72.62969516017904,-0.08531379525642076,26.683902601428304,-0.08531379525642076,-0.08531379525642076
Large,Density2,Medium,46.63144515539669,-0.09650345375145958,26.146690257664453,-0.09650345375145958,9.606204936514189,-0.09650345375145958,-0.09650345375145958
Large,Density2,Small,5.181271683932966,-0.005724112444305016,2.9051878064071612,-0.005724112444305016,1.0673561040571322,-0.020991545307178682,-0.018500359960608517
Large,Density3,Large,129.53179209832416,5.488797683028679e-18,72.62969516017904,-0.08820364865084016,26.683902601428304,-0.08820364865084016,-0.08820364865084016
Large,Density3,Medium,46.63144515539669,-0.10027224955111896,26.146690257664453,-0.10027224955111896,9.606204936514189,-0.10027224955111896,-0.10027224955111896
Large,Density3,Small,5.181271683932966,-0.006111283702639696,2.9051878064071612,-0.006111283702639696,1.0673561040571322,-0.022161429840844904,-0.019673567041044487
Small1,Density1,Large,129.53179209832416,4.2292296598134275e-17,72.62969516017904,-0.03480962615232062,26.683902601428304,-0.03480962615232062,-0.03480962615232062
Small1,Density1,Medium,46.63144515539669,-0.05820447776159933,26.146690257664453,-0.05820447776159933,9.606204936514189,-0.05820447776159933,-0.05820447776159933
Small1,Density1,Small,5.181271683932966,-0.005852348095451006,2.9051878064071612,-0.005852348095451006,1.0673561040571322,-0.012116458227946781,-0.012765167060655636
Small1,Density2,Large,129.53179209832416,2.4096773643123018e-17,72.62969516017904,-0.0353417501833171,26.683902601428304,-0.0353417501833171,-0.0353417501833171
Small1,Density2,Medium,46.63144515539669,-0.059124531372791694,26.146690257664453,-0.059124531372791694,9.606204936514189,-0.059124531372791694,-0.059124531372791694
Small1,Density2,Small,5.181271683932966,-0.005306565680316885,2.9051878064071612,-0.005306565680316885,1.0673561040571322,-0.011516439230725074,-0.01223543276593492
Small1,Density3,Large,129.53179209832416,-1.3452313396555838e-17,72.62969516017904,-0.035282506466241925,26.683902601428304,-0.035282506466241925,-0.035282506466241925
Small1,Density3,Medium,46.63144515539669,-0.05840286757083457,26.146690257664453,-0.05840286757083457,9.606204936514189,-0.05840286757083457,-0.05840286757083457
Small1,Density3,Small,5.181271683932966,-0.00543406233872465,2.9051878064071612,-0.00543406233872465,1.0673561040571322,-0.011668506622734848,-0.012356357977749375
Medium1,Density1,Large,129.53179209832416,-1.2056318610120798e-18,72.62969516017904,-0.06633264910169563,26.683902601428304,-0.06633264910169563,-0.06633264910169563
Medium1,Density1,Medium,46.63144515539669,-0.08391464224183448,26.146690257664453,-0.08391464224183448,9.606204936514189,-0.08391464224183448,-0.08391464224183448
Medium1,Density1,Small,5.181271683932966,-0.005730667625540615,2.9051878064071612,-0.005730667625540615,1.0673561040571322,-0.017604687904498647,-0.017198438245024338
Medium1,Density2,Large,129.53179209832416,-3.3107285446476456e-17,72.62969516017904,-0.06598457373680976,26.683902601428304,-0.06598457373680976,-0.06598457373680976
Medium1,Density2,Medium,46.63144515539669,-0.0840081588767742,26.146690257664453,-0.0840081588767742,9.606204936514189,-0.0840081588767742,-0.0840081588767742
Medium1,Density2,Small,5.181271683932966,-0.005731203979390306,2.9051878064071612,-0.005731203979390306,1.0673561040571322,-0.017543191477384406,-0.016993942344136894
Medium1,Density3,Large,129.53179209832416,-1.9258382621956117e-17,72.62969516017904,-0.06953938414359721,26.683902601428304,-0.06953938414359721,-0.06953938414359721
Medium1,Density3,Medium,46.63144515539669,-0.08948695492243841,26.146690257664453,-0.08948695492243841,9.606204936514189,-0.08948695492243841,-0.08948695492243841
Medium1,Density3,Small,5.181271683932966,-0.005873205732362748,2.9051878064071612,-0.005873205732362748,1.0673561040571322,-0.01839833224199337,-0.01794843606986213
Large1,Density1,Large,129.53179209832416,-4.343447415067203e-17,72.62969516017904,-0.08785749387676238,26.683902601428304,-0.08785749387676238,-0.08785749387676238
Large1,Density1,Medium,46.63144515539669,-0.09830240437067028,26.146690257664453,-0.09830240437067028,9.606204936514189,-0.09830240437067028,-0.09830240437067028
Large1,Density1,Small,5.181271683932966,-0.005676723938474078,2.9051878064071612,-0.005676723938474078,1.0673561040571322,-0.021366991803531295,-0.018705762928037228
Large1,Density2,Large,129.53179209832416,-1.2278408689780918e-17,72.62969516017904,-0.08951234020081744,26.683902601428304,-0.08951234020081744,-0.08951234020081744
Large1,Density2,Medium,46.63144515539669,-0.09977255566920293,26.146690257664453,-0.09977255566920293,9.606204936514189,-0.09977255566920293,-0.09977255566920293
Large1,Density2,Small,5.181271683932966,-0.0056801826368762095,2.9051878064071612,-0.0056801826368762095,1.0673561040571322,-0.02166839318009355,-0.019115256045570433
Large1,Density3,Large,129.53179209832416,-3.0299432296487794e-17,72.62969516017904,-0.08975480344503546,26.683902601428304,-0.08975480344503546,-0.08975480344503546
Large1,Density3,Medium,46.63144515539669,-0.1021453229198863,26.146690257664453,-0.1021453229198863,9.606204936514189,-0.1021453229198863,-0.1021453229198863
Large1,Density3,Small,5.181271683932966,-0.0061749048755461175,2.9051878064071612,-0.0061749048755461175,1.0673561040571322,-0.02255171426771322,-0.01986265595520867
